5.10000001,3.50000002,1.40000003,0.20000004,Iris-setosa
4.90000001,3.00000002,1.40000003,0.20000004,Iris-setosa
4.70000001,3.20000002,1.30000003,0.20000004,Iris-setosa
4.60000001,3.10000002,1.50000003,0.20000004,Iris-setosa
5.00000001,3.60000002,1.40000003,0.20000004,Iris-setosa
5.40000001,3.90000002,1.70000003,0.40000004,Iris-setosa
4.60000001,3.40000002,1.40000003,0.30000004,Iris-setosa
5.00000001,3.40000002,1.50000003,0.20000004,Iris-setosa
4.40000001,2.90000002,1.40000003,0.20000004,Iris-setosa
4.90000001,3.10000002,1.50000003,0.10000004,Iris-setosa
5.40000001,3.70000002,1.50000003,0.20000004,Iris-setosa
4.80000001,3.40000002,1.60000003,0.20000004,Iris-setosa
4.80000001,3.00000002,1.40000003,0.10000004,Iris-setosa
4.30000001,3.00000002,1.10000003,0.10000004,Iris-setosa
5.80000001,4.00000002,1.20000003,0.20000004,Iris-setosa
5.70000001,4.40000002,1.50000003,0.40000004,Iris-setosa
5.40000001,3.90000002,1.30000003,0.40000004,Iris-setosa
5.10000001,3.50000002,1.40000003,0.30000004,Iris-setosa
5.70000001,3.80000002,1.70000003,0.30000004,Iris-setosa
5.10000001,3.80000002,1.50000003,0.30000004,Iris-setosa
5.40000001,3.40000002,1.70000003,0.20000004,Iris-setosa
5.10000001,3.70000002,1.50000003,0.40000004,Iris-setosa
4.60000001,3.60000002,1.00000003,0.20000004,Iris-setosa
5.10000001,3.30000002,1.70000003,0.50000004,Iris-setosa
4.80000001,3.40000002,1.90000003,0.20000004,Iris-setosa
5.00000001,3.00000002,1.60000003,0.20000004,Iris-setosa
5.00000001,3.40000002,1.60000003,0.40000004,Iris-setosa
5.20000001,3.50000002,1.50000003,0.20000004,Iris-setosa
5.20000001,3.40000002,1.40000003,0.20000004,Iris-setosa
4.70000001,3.20000002,1.60000003,0.20000004,Iris-setosa
4.80000001,3.10000002,1.60000003,0.20000004,Iris-setosa
5.40000001,3.40000002,1.50000003,0.40000004,Iris-setosa
5.20000001,4.10000002,1.50000003,0.10000004,Iris-setosa
5.50000001,4.20000002,1.40000003,0.20000004,Iris-setosa
4.90000001,3.10000002,1.50000003,0.10000004,Iris-setosa
5.00000001,3.20000002,1.20000003,0.20000004,Iris-setosa
5.50000001,3.50000002,1.30000003,0.20000004,Iris-setosa
4.90000001,3.10000002,1.50000003,0.10000004,Iris-setosa
4.40000001,3.00000002,1.30000003,0.20000004,Iris-setosa
5.10000001,3.40000002,1.50000003,0.20000004,Iris-setosa
5.00000001,3.50000002,1.30000003,0.30000004,Iris-setosa
4.50000001,2.30000002,1.30000003,0.30000004,Iris-setosa
4.40000001,3.20000002,1.30000003,0.20000004,Iris-setosa
5.00000001,3.50000002,1.60000003,0.60000004,Iris-setosa
5.10000001,3.80000002,1.90000003,0.40000004,Iris-setosa
4.80000001,3.00000002,1.40000003,0.30000004,Iris-setosa
5.10000001,3.80000002,1.60000003,0.20000004,Iris-setosa
4.60000001,3.20000002,1.40000003,0.20000004,Iris-setosa
5.30000001,3.70000002,1.50000003,0.20000004,Iris-setosa
5.00000001,3.30000002,1.40000003,0.20000004,Iris-setosa
7.00000001,3.20000002,4.70000003,1.40000004,Iris-versicolor
6.40000001,3.20000002,4.50000003,1.50000004,Iris-versicolor
6.90000001,3.10000002,4.90000003,1.50000004,Iris-versicolor
5.50000001,2.30000002,4.00000003,1.30000004,Iris-versicolor
6.50000001,2.80000002,4.60000003,1.50000004,Iris-versicolor
5.70000001,2.80000002,4.50000003,1.30000004,Iris-versicolor
6.30000001,3.30000002,4.70000003,1.60000004,Iris-versicolor
4.90000001,2.40000002,3.30000003,1.00000004,Iris-versicolor
6.60000001,2.90000002,4.60000003,1.30000004,Iris-versicolor
5.20000001,2.70000002,3.90000003,1.40000004,Iris-versicolor
5.00000001,2.00000002,3.50000003,1.00000004,Iris-versicolor
5.90000001,3.00000002,4.20000003,1.50000004,Iris-versicolor
6.00000001,2.20000002,4.00000003,1.00000004,Iris-versicolor
6.10000001,2.90000002,4.70000003,1.40000004,Iris-versicolor
5.60000001,2.90000002,3.60000003,1.30000004,Iris-versicolor
6.70000001,3.10000002,4.40000003,1.40000004,Iris-versicolor
5.60000001,3.00000002,4.50000003,1.50000004,Iris-versicolor
5.80000001,2.70000002,4.10000003,1.00000004,Iris-versicolor
6.20000001,2.20000002,4.50000003,1.50000004,Iris-versicolor
5.60000001,2.50000002,3.90000003,1.10000004,Iris-versicolor
5.90000001,3.20000002,4.80000003,1.80000004,Iris-versicolor
6.10000001,2.80000002,4.00000003,1.30000004,Iris-versicolor
6.30000001,2.50000002,4.90000003,1.50000004,Iris-versicolor
6.10000001,2.80000002,4.70000003,1.20000004,Iris-versicolor
6.40000001,2.90000002,4.30000003,1.30000004,Iris-versicolor
6.60000001,3.00000002,4.40000003,1.40000004,Iris-versicolor
6.80000001,2.80000002,4.80000003,1.40000004,Iris-versicolor
6.70000001,3.00000002,5.00000003,1.70000004,Iris-versicolor
6.00000001,2.90000002,4.50000003,1.50000004,Iris-versicolor
5.70000001,2.60000002,3.50000003,1.00000004,Iris-versicolor
5.50000001,2.40000002,3.80000003,1.10000004,Iris-versicolor
5.50000001,2.40000002,3.70000003,1.00000004,Iris-versicolor
5.80000001,2.70000002,3.90000003,1.20000004,Iris-versicolor
6.00000001,2.70000002,5.10000003,1.60000004,Iris-versicolor
5.40000001,3.00000002,4.50000003,1.50000004,Iris-versicolor
6.00000001,3.40000002,4.50000003,1.60000004,Iris-versicolor
6.70000001,3.10000002,4.70000003,1.50000004,Iris-versicolor
6.30000001,2.30000002,4.40000003,1.30000004,Iris-versicolor
5.60000001,3.00000002,4.10000003,1.30000004,Iris-versicolor
5.50000001,2.50000002,4.00000003,1.30000004,Iris-versicolor
5.50000001,2.60000002,4.40000003,1.20000004,Iris-versicolor
6.10000001,3.00000002,4.60000003,1.40000004,Iris-versicolor
5.80000001,2.60000002,4.00000003,1.20000004,Iris-versicolor
5.00000001,2.30000002,3.30000003,1.00000004,Iris-versicolor
5.60000001,2.70000002,4.20000003,1.30000004,Iris-versicolor
5.70000001,3.00000002,4.20000003,1.20000004,Iris-versicolor
5.70000001,2.90000002,4.20000003,1.30000004,Iris-versicolor
6.20000001,2.90000002,4.30000003,1.30000004,Iris-versicolor
5.10000001,2.50000002,3.00000003,1.10000004,Iris-versicolor
5.70000001,2.80000002,4.10000003,1.30000004,Iris-versicolor
6.30000001,3.30000002,6.00000003,2.50000004,Iris-virginica
5.80000001,2.70000002,5.10000003,1.90000004,Iris-virginica
7.10000001,3.00000002,5.90000003,2.10000004,Iris-virginica
6.30000001,2.90000002,5.60000003,1.80000004,Iris-virginica
6.50000001,3.00000002,5.80000003,2.20000004,Iris-virginica
7.60000001,3.00000002,6.60000003,2.10000004,Iris-virginica
4.90000001,2.50000002,4.50000003,1.70000004,Iris-virginica
7.30000001,2.90000002,6.30000003,1.80000004,Iris-virginica
6.70000001,2.50000002,5.80000003,1.80000004,Iris-virginica
