2.00000001,4.00000002,4.00000003,3.00000004,2.00000005,7.00000006,8.00000007,2.00000008,9.00000009,11.0000001,7.00000011,7.00000012,1.00000013,8.00000014,5.00000015,6.00000016,Z
4.00000001,7.00000002,5.00000003,5.00000004,5.00000005,5.00000006,9.00000007,6.00000008,4.00000009,8.0000001,7.00000011,9.00000012,2.00000013,9.00000014,7.00000015,10.00000016,P
7.00000001,10.00000002,8.00000003,7.00000004,4.00000005,8.00000006,8.00000007,5.00000008,10.00000009,11.0000001,2.00000011,8.00000012,2.00000013,5.00000014,5.00000015,10.00000016,S
4.00000001,9.00000002,5.00000003,7.00000004,4.00000005,7.00000006,7.00000007,13.00000008,1.00000009,7.0000001,6.00000011,8.00000012,3.00000013,8.00000014,1.5e-07,8.00000016,H
6.00000001,7.00000002,8.00000003,5.00000004,4.00000005,7.00000006,6.00000007,3.00000008,7.00000009,10.0000001,7.00000011,9.00000012,3.00000013,8.00000014,3.00000015,7.00000016,H
4.00000001,7.00000002,5.00000003,5.00000004,3.00000005,4.00000006,12.00000007,2.00000008,5.00000009,13.0000001,7.00000011,5.00000012,1.00000013,10.00000014,1.00000015,7.00000016,F
6.00000001,10.00000002,8.00000003,8.00000004,4.00000005,7.00000006,8.00000007,2.00000008,5.00000009,10.0000001,7.00000011,8.00000012,5.00000013,8.00000014,1.00000015,8.00000016,N
1.00000001,2e-08,2.00000003,4e-08,1.00000005,6.00000006,10.00000007,7.00000008,2.00000009,7.0000001,5.00000011,8.00000012,2.00000013,7.00000014,4.00000015,9.00000016,R
5.00000001,9.00000002,7.00000003,6.00000004,7.00000005,7.00000006,7.00000007,2.00000008,4.00000009,9.0000001,8.00000011,9.00000012,7.00000013,6.00000014,2.00000015,8.00000016,M
1.00000001,2e-08,2.00000003,1.00000004,1.00000005,5.00000006,7.00000007,8.00000008,6.00000009,7.0000001,6.00000011,6.00000012,2.00000013,8.00000014,3.00000015,8.00000016,D
2.00000001,7.00000002,4.00000003,5.00000004,1.00000005,9.00000006,8.00000007,4.00000008,2.00000009,5.0000001,13.00000011,8.00000012,3.00000013,10.00000014,1.5e-07,8.00000016,V
3.00000001,11.00000002,5.00000003,8.00000004,3.00000005,13.00000006,4.00000007,5.00000008,3.00000009,12.0000001,1.00000011,8.00000012,2.00000013,6.00000014,4.00000015,9.00000016,A
3.00000001,7.00000002,5.00000003,5.00000004,5.00000005,8.00000006,7.00000007,4.00000008,4.00000009,7.0000001,6.00000011,7.00000012,4.00000013,6.00000014,8.00000015,13.00000016,K
3.00000001,8.00000002,5.00000003,6.00000004,4.00000005,8.00000006,8.00000007,4.00000008,5.00000009,9.0000001,5.00000011,4.00000012,3.00000013,8.00000014,3.00000015,7.00000016,D
8.00000001,11.00000002,9.00000003,8.00000004,6.00000005,7.00000006,8.00000007,3.00000008,6.00000009,10.0000001,5.00000011,7.00000012,4.00000013,6.00000014,6.00000015,8.00000016,S
